Ссылка на статью;Заголовок статьи;Текст статьи
vk.com/faq18953;Как долго идёт денежный перевод?;Средства поступают на баланс VK Pay моментально.
vk.com/faq18951;Есть ли комиссия за перевод другому пользователю VK Pay?;Нет, мы не взимаем [https://vk.com/vkpay#action=tariffs|комиссию] за переводы между пользователями внутри VK Pay.
vk.com/faq18949;Какую сумму я могу перевести другу?;Вы можете перевести до 15 000 рублей за раз и не более 40 000 рублей в месяц. Пожалуйста, обратите внимание, что при превышении лимита VK Pay отменит операцию в течение 5 дней.
vk.com/faq18947;Как перевести деньги другу через VK Pay?;Денежные переводы между счетами доступны только пользователям [https://vk.com/faq17872|расширенного] аккаунта VK Pay. Вы можете перевести средства другу, который прошёл идентификацию. Для этого зайдите на вкладку Баланс и нажмите Перевести. После этого можно будет выбрать один их двух способов.Способ 1. Выберите человека из списка друзей.Способ 2. Укажите номер телефона получателя.
vk.com/faq18943;Как вернуть товар, оплаченный через VK Pay?;Возврат товара осуществляет продавец. Пожалуйста, уточните условия и сроки возврата на сайте магазина.
vk.com/faq18941;Как отменить оплату через VK Pay?;К сожалению, отменить оплату через VK Pay невозможно, но вы можете оформить возврат товара. Для этого свяжитесь с продавцом на сайте магазина.
vk.com/faq18917;Не могу выложить историю;Истории поддерживаются в мобильном приложении на устройствах Android (начиная с версии приложения 4.7.0, при этом операционная система должна быть не ниже 4.1) и iPhone (начиная с версии приложения 2.11). В более ранних версиях раздел историй недоступен. Важно отметить, что видео должно быть не дольше 15 секунд.
vk.com/faq18917;Не могу выложить историю;В приложении для iPad пока нет возможности выкладывать истории.
vk.com/faq18915;Как добавить вложение в историю?;Вложения (размещённые ВКонтакте) можно прикреплять к истории через кнопку «Поделиться» под материалом. Нажав «Поделиться», внизу вы увидите кнопку «Добавить в историю». Таким образом, можно будет прикрепить к истории, например, статью, пост, видео и так далее.
vk.com/faq18914;Как отметить в истории пользователя или сообщество?;Чтобы вставить в историю упоминание, нажмите на значок стикера и выберите нужный. В качестве имени нужно ввести данные пользователя или адрес сообщества. Выпадающие подсказки помогут определиться. В одной истории может быть не более 10 упоминаний. Упомянутые получат оповещение.В мобильном приложении можно упомянуть пользователя с помощью значка @ в тексте — без стикера. Сообщества могут отключить такие упоминания в полной версии платформы: колокольчик → Настройки → под разделом Уведомления выбрать нужное сообщество → пункт Упоминания в историях. В мобильном приложении ВКонтакте: колокольчик → иконка настроек → Уведомления от сообществ → выбрать нужное сообщество → пункт Упоминания в историях.
vk.com/faq18913;Геостикеры в историях;Чтобы добавить геостикер, загрузите или снимите историю и выберите в меню стикеров МЕСТО. В историю можно добавить лишь один такой стикер.Своё место создать нельзя — можно лишь выбрать из списка. Ближайшие локации отобразятся первыми автоматически. Чтобы выбрать что-то конкретное, воспользуйтесь поиском вверху экрана. Для завершения нажмите Готово.При переходе по метке из истории система покажет тултип, который предлагает перейти к странице места. На ней собрана базовая информация о локации, карта, истории оттуда, а ниже записи с ней. Если связанных с этим местом историй ещё нет, будут показаны фотографии, сделанные пользователями поблизости. Для стикера места есть четыре стиля отображения: белый, синий, зеленый и прозрачный. Переключаются они касанием стикера во время редактирования.
vk.com/faq18911;Как поделиться историей?;Оформите историю и нажмите Выбрать получателей. Там вы сможете выбрать всех, одного или нескольких друзей или какой-либо групповой чат.
vk.com/faq18910;Что такое «Видеоистория»?;В камере историй есть режимы съёмки: «Видеоистория».«Видеоистория» избавит вас от необходимости удерживать кнопку записи — нажмите её один раз, чтобы начать съёмку, и продолжайте уже со свободными руками.Новый режим отображается в камере историй под кнопкой записи. Вы можете менять их одним касанием — просто смахните влево или вправо от края экрана.
vk.com/faq18908;Как изменить настройки стены в группе: закрыть её или отключить?;В мобильной версии такой возможности пока нет, это можно сделать в версии для компьютера.Вы также можете воспользоваться приложением. Зайдите в сообщество и нажмите на изображение шестерёнки справа вверху, найдите пункт Разделы и поменяйте настройки стены.
vk.com/faq18908;Как изменить настройки стены в группе: закрыть её или отключить?;Зайдите в сообщество и нажмите на изображение шестерёнки справа вверху, найдите пункт Разделы и поменяйте настройки стены.
vk.com/faq18908;Как изменить настройки стены в группе: закрыть её или отключить?;Откройте сообщество и зайдите в Управление в правом меню. В блоке Разделы нажмите на текст рядом с пунктом Стена и выберите в выпадающем списке подходящий вариант. Не забудьте сохранить изменения.
vk.com/faq18907;Как настроить приватность стены?;Настройки приватности стены можно найти в настройках приложения. Пункт «Приватность» → «Записи на странице». Если вы хотите, чтобы пользователи имели возможность комментировать вашу стену и оставлять там записи, ни в одном из пунктов не должно стоять «Только я». Если вы хотите разместить запись только для друзей, то необходимо в окне создания записи нажать на кнопку «Видно всем». Тогда её значение изменится на «Видно друзьям». Скрыть уже существующие записи на стене невозможно.
vk.com/faq18907;Как настроить приватность стены?;Зайдите в «Настройки» → «Приватность»: https://m.vk.com/settings?act=privacy и обратите внимание на раздел «Записи на странице».   Если вы хотите, чтобы пользователи имели возможность комментировать вашу стену и оставлять там записи, ни в одном из пунктов не должно стоять «Только я».
vk.com/faq18904;Как скрыть свои обновления из новостей?;Свои действия вы можете скрыть через веб-версию в настройках приватности (https://vk.com/settings?act=privacy): в строке Какие обновления видят в новостях мои друзья можно при желании отключить информирование друзей об обновлениях разных разделов (например, разделов «Комментарии» или «Нравится»).Обратите внимание, что это можно сделать только в компьютерной версии платформы.Обратите внимание: речь идёт именно о том, чтобы действия не высвечивались в новостях друзей. Если ваш друг зайдёт в сообщество и посмотрит запись, которую вы лайкнули или прокомментировали, он сможет увидеть ваш лайк и комментарий. Это никак не скрыть.
vk.com/faq18901;Как изменить список тех, кто может мне звонить?;Чтобы выбрать людей, которые смогут вам позвонить, откройте вкладку Сервисы, нажмите на три полоски в правом верхнем углу → Настройки → Приватность → Связь со мной → Кто может мне звонить.Убедитесь, что приложение обновлено до последней версии.
vk.com/faq18898;Как включить видеосвязь?;Во время звонка нажмите на иконку камеры в правом верхнем углу. Чтобы переключить камеру, нужно дважды нажать на экран во время видеосвязи.Если возникают какие-либо проблемы в приложении и их не удаётся решить, то вы можете обратиться в Поддержку по данному поводу.
vk.com/faq18895;Как свернуть звонок?;Во время звонка нажмите на иконку слева сверху и разрешите доступ к открытию окон поверх приложения, а затем вернитесь в приложение. Чтобы завершить звонок, нажмите на миниатюру для раскрытия звонка на весь экран.
vk.com/faq18895;Как свернуть звонок?;Во время звонка нажмите на иконку слева сверху. Чтобы завершить звонок, нажмите на миниатюру для раскрытия звонка на весь экран.
vk.com/faq18891;Во время звонка меня не слышно и не видно;1. Проверьте, разрешён ли доступ приложения к микрофону и камере. Откройте настройки телефона, перейдите в раздел Приложения → ВКонтакте → Разрешения и выберите соответствующие пункты.2. Обновите приложение до последней версии в Google Play. 3. Очистите кеш в приложении: откройте вкладку Сервисы → три полоски в правом верхнем углу → Настройки → Приложение → Очистить кеш.Если проблему не удаётся решить самостоятельно, напишите в Поддержку.
vk.com/faq18891;Во время звонка меня не слышно и не видно;1. Проверьте, разрешён ли доступ приложения к микрофону и камере. Нужно перейти в настройки iPhone или iPad → VK и разрешить соответствующие пункты.2. Обновите приложение до последней версии в App Store. 3. Очистите кеш в приложении: откройте вкладку Сервисы → три полоски в правом верхнем углу → Настройки → Приложение → Очистить кеш.Если проблему не удаётся решить самостоятельно, напишите в Поддержку.
vk.com/faq18887;Как использовать маски в звонках?;Чтобы использовать маски, нужно нажать на смайлик во время видеовызова. Обязательно проверьте, чтобы у вас было обновлено приложение. Скачать актуальные версии приложений можно по ссылкам ниже. ВКонтакте для iOS: https://vk.cc/iosВКонтакте для Android: https://vk.cc/android
vk.com/faq18881;Как оплатить покупку со счёта электронного кошелька?;Используйте электронные кошельки Сбербанк Онлайн, Яндекс.Деньги и QIWI Кошелёк для оплаты товаров и услуг через VK Pay. Сервисы интегрированы в VK Pay — вам остаётся только выбрать кошелёк для выставления счёта при оплате в онлайн-магазине.
vk.com/faq18880;Как очистить историю звонков?;Увы, удалить историю звонков или каким-то образом отредактировать её в переписке сейчас никак нельзя. Эти сообщения являются системными.Появится ли такая возможность и как быстро, мы сейчас сказать вам не можем, к сожалению.
vk.com/faq18878;Как оплатить покупку со счёта мобильного телефона?;Чтобы оплатить товар или услугу со счёта мобильного телефона через VK Pay, выберите оператора связи (МегаФон, МТС, Билайн, Tele2, Yota), введите номер телефона и подтвердите оплату с помощью SMS-кода.
vk.com/faq18875;Можно ли пригласить друга для регистрации ВКонтакте?;Это можно сделать по ссылке m.vk.com/invite Впрочем, уже давно пользователи могут регистрироваться самостоятельно, без приглашения.
vk.com/faq18873;Как вывести деньги с баланса VK Pay?;[vk.com/vkpay#action=tariffs|Вывести] деньги с баланса или с карты VK Pay (их балансы синхронизированы) можно на любую карту российского банка напрямую или через Систему быстрых платежей.Банковская картаДля этого нажмите на кнопку «Вывести» и следуйте инструкции. При выводе на банковскую карту напрямую взимается [https://vk.com/vkpay#action=tariffs|комиссия] 3%, минимальная комиссия — 50 рублей. Вы можете вывести любую сумму от 1 до 200 000 рублей в месяц. Обычно деньги поступают на карту моментально, однако конкретный срок зависит от банка, выпустившего карту. Иногда процесс может занять несколько дней.Система быстрых платежейПри выводе средств с баланса VK Pay через Систему быстрых платежей комиссия не взимается, лимит вывода составляет 3 000 рублей в месяц. Обратите внимание, что выводить средства с баланса могут только идентифицированные пользователи.
vk.com/faq18873;Как вывести деньги с баланса VK Pay?;[https://vk.com/vkpay#action=tariffs|Вывести] деньги с баланса VK Pay можно на любую карту российского банка напрямую или через Систему быстрых платежей. Для этого нажмите Вывести и следуйте инструкции. При выводе на банковскую карту напрямую взимается [https://vk.com/vkpay#action=tariffs|комиссия] 3%, минимальная комиссия — 50 рублей. Вы можете вывести любую сумму от 1 до 200 000 рублей в месяц. Обычно деньги поступают на карту моментально, однако конкретный срок зависит от банка, выпустившего карту. Иногда процесс может занять несколько дней.{{Hider|Скриншот 1[[photo100_461982746|201x400pxnoborder| ]][[photo100_461982747|201x400pxnoborder| ]][[photo100_461982748|202x400pxnoborder| ]]}}При выводе средств с баланса VK Pay через Систему быстрых платежей комиссия не взимается, лимит вывода составляет 3 000 рублей в месяц. Обратите внимание, что выводить средства с баланса могут только идентифицированные пользователи.{{Hider|Скриншот 2[[photo100_460205521|202x400pxnoborder| ]]}}
vk.com/faq18872;Потерян доступ к аккаунту;Попробуйте восстановить доступ к аккаунту здесь: vk.com/restore.Чтобы избежать таких ситуаций в будущем, мы рекомендуем привязать аккаунт к актуальному номеру мобильного телефона.Если возникают какие-то трудности с восстановлением, напишите в Поддержку — вместе мы сможем найти решение. Пожалуйста, учтите: если ваш аккаунт заблокирован, вам нужно обратиться в Поддержку прямо с него. Обсуждать судьбу заблокированных профилей при обращении с других аккаунтов мы не можем.
vk.com/faq18870;Как пополнить чужой баланс VK Pay?;Чтобы пополнить чужой баланс VK Pay онлайн, сначала пополните свой баланс на нужную сумму, затем переведите деньги другому пользователю. Или воспользуйтесь денежным переводом с банковской карты на чужой аккаунт.
vk.com/faq18868;Что произойдёт при пополнении баланса VK Pay с валютной карты?;Валюта сконвертируется в рубли согласно курсу банка, выпустившего карту.
vk.com/faq18866;Существует ли комиссия при пополнении баланса VK Pay?;Нет, пополнение баланса VK Pay с банковских карт осуществляется без [https://vk.com/vkpay#action=tariffs|комиссии] (за исключением случаев, когда комиссию взимает выпустивший карту банк).При пополнении баланса VK Pay через Систему быстрых платежей на сумму менее 100 000 ₽ в месяц комиссия также не взимается.
vk.com/faq18864;Как пополнить баланс?;С банковской картыЧтобы пополнить баланс VK Pay с банковской карты, нажмите Пополнить на главной странице VK Pay, выберите привязанную карту или добавьте новую. Минимальная сумма пополнения — 1 рубль. Максимальная — зависит от типа аккаунта: 15 000 рублей для базового и 60 000 рублей для расширенного.Чтобы пополнить баланс VK Pay с банковской карты, привязанной к другому аккаунту, используйте перевод.Переводом через Систему быстрых платежейИдентифицированные пользователи могут пополнить баланс VK Pay через Систему быстрых платежей. Для этого откройте мобильное приложение вашего банка и выберите перевод через СБП (обратите внимание, что банк может определить адрес перевода как Деньги@Мэйл.ру — это и есть баланс VK Pay).Подробную инструкцию для каждого банка ищите на [http://sbp.nspk.ru|официальном сайте].Максимальная сумма пополнения — 60 000 рублей, минимальная — зависит от вашего банка.
vk.com/faq18864;Как пополнить баланс?;С банковской картыЧтобы пополнить баланс VK Pay с банковской карты, нажмите Пополнить на главной странице VK Pay, выберите привязанную карту или добавьте новую. Минимальная сумма пополнения — 1 рубль. Максимальная — зависит от типа аккаунта: 15 000 рублей для базового и 60 000 рублей для расширенного.{{Hider|Скриншот 1[[photo100_461982750|201x400pxnoborder| ]][[photo100_461982749|202x400pxnoborder| ]][[photo100_460205469|202x400pxnoborder| ]]}}Чтобы пополнить баланс VK Pay с банковской карты, привязанной к другому аккаунту, используйте перевод.Переводом через Систему быстрых платежейИдентифицированные пользователи могут пополнить баланс VK Pay через Систему быстрых платежей. Для этого откройте мобильное приложение вашего банка и выберите перевод через СБП (обратите внимание, что банк может определить адрес перевода как Деньги@Мейл.ру — это и есть баланс VK Pay). Подробную инструкцию для каждого банка ищите на [https://sbp.nspk.ru/|официальном сайте]. Максимальная сумма пополнения — 60 000 рублей, минимальная — зависит от вашего банка.
vk.com/faq18862;Сколько я могу хранить на балансе VK Pay?;Максимальный лимит баланса зависит от типа аккаунта и составляет 15 000 рублей для базового и 60 000 рублей для [vk.com/faq18813|расширенного].
vk.com/faq18860;Кто увидит мои данные?;Персональные данные клиентов VK Pay недоступны третьим лицам. Они направляются на проверку в [https://vk.com/away.php?to=https%3A%2F%2Fesia.gosuslugi.ru%2F|Единую систему идентификации и аутентификации (ЕСИА)] для подтверждения личности — это безопасно.
vk.com/faq18858;Что можно оплатить через VK Pay?;Товары в интернет-магазинах партнёров VK Pay по всему мируОплачивайте через VK Pay товары и услуги на сайтах [https://vkpay.com/merchants|партнёров].Ежедневные услугиВ разделе Каталог вы можете оплатить мобильную связь и интернет, штрафы ГИБДД и транспорт, а также разделить счёт с друзьями и перевести деньги благотворительным организациям. Онлайн-сервисыИспользуйте VK Pay для оплаты игр и программ, легального просмотра фильмов и чтения книг — для этого выберите соответствующий раздел в «Сервисах». С помощью VK Pay вы также можете покупать товары в сообществах ВКонтакте.Подробнее читайте в разделе Способы оплаты. Вы также можете оплатить любую покупку виртуальной картой — для этого просто введите её реквизиты и подтвердите оплату.
vk.com/faq18856;Как оплатить покупку с баланса VK Pay?;Чтобы оплатить товар или услугу с баланса VK Pay, выберите его в способах оплаты на сайте магазина-партнёра. Не забудьте заранее пополнить свой счёт — тогда оплата займет всего пару секунд: вам понадобится только ввести PIN-код VK Pay для подтверждения операции.
vk.com/faq18854;Как удалить банковскую карту из аккаунта?;Перейдите в Настройки, затем на вкладку Привязанные карты и нажмите на крестик в строке с картой, которую хотите удалить.
vk.com/faq18854;Как удалить банковскую карту из аккаунта?;Зайдите в настройки (значок шестерёнки в правом верхнем углу), перейдите в раздел Привязанные карты и нажмите Изменить или на крестик, чтобы удалить карту из списка.
vk.com/faq18850;Сколько банковских карт можно привязать к аккаунту? И какие именно?;К аккаунту VK Pay можно [https://vk.com/vkpay#action=add-card%C2%A0|привязать] до трёх банковских карт. Обратите внимание: каждую карту можно привязать только к одному аккаунту VK Pay.
vk.com/faq18848;Как привязать банковскую карту к аккаунту?;Чтобы привязать банковскую карту к аккаунту VK Pay, зайдите в раздел Карты или перейдите по [http://vk.com/vkpay#action=add-card|ссылке].
vk.com/faq18846;Как оплатить покупку банковской картой через VK Pay?;Для оплаты товара или услуги на сайте партнёра VK Pay выберите банковскую карту в способах оплаты. Рекомендуем [https://vk.com/vkpay#action=add-card%C2%A0|привязать] карту к аккаунту VK Pay, чтобы расплачиваться в онлайн-магазинах без ввода реквизитов, пополнять баланс, отправлять денежные переводы и [https://vk.com/vkpay#action=tariffs|выводить средства] на карты.
vk.com/faq18844;Что делать, если у меня нет паспорта/гражданства РФ?;Пока что [https://vk.com/app7131443#action=identify|идентификация] доступна только гражданам РФ, но жители других стран могут пользоваться всеми возможностями базового аккаунта VK Pay: пополнять баланс с банковской карты, покупать в российских магазинах, оплачивать рекламу, участвовать в акциях и получать [https://vk.com/vkpay#action=conditions-casheback|кешбэк].
vk.com/faq18842;В данные для идентификации вкралась ошибка, что делать?;Указав неверные данные при [https://vk.com/app7131443#action=identify|идентификации] в VK Pay, вы не пройдёте проверку в ЕСИА. Не переживайте — вы сможете заполнить анкету снова после отклонения (в процессе обработки внести изменения нельзя).
vk.com/faq18840;Что делать, если не удаётся пройти идентификацию?;Несмотря на то, что вы вводите данные в VK Pay, они нам не видны и передаются напрямую в [https://esia.gosuslugi.ru/|ЕСИА] для проверки. Узнать подробности отклонения заявки или идентифицировать пользователя самостоятельно мы не можем, поэтому предлагаем вам проверить себя по чеклисту возможных ошибок.Итак, убедитесь, что вы НЕ: использовали данные для идентификации на другом аккаунте указали сокращённое имя (например, «Аня» вместо «Анна») или вымышленную/девичью фамилию (по умолчанию добавляются имя и фамилия со страницы ВКонтакте) ввели в имени, фамилии или отчестве «ё» вместо «е», как указано в документах, или наоборот (например, если в паспорте вы записаны как «Артем», нужно указать своё имя именно так, через «е») пропустили отчество — это поле обязательное, несмотря на пометку «если есть» поставили случайный пробел до или после ФИО написали фамилию в поле «Имя», а имя — в поле «Фамилия» ошиблись в номере одного из документов использовали чужие данные для идентификации ввели номер паспорта, выпущенного/перевыпущенного совсем недавно (в этом случае нужно подождать, пока данные в ЕСИА обновятся).Если все эти причины вы исключили, но всё равно получили отказ, попробуйте: ввести номер другого второго документа (если указывали ИНН — введите СНИЛС, и наоборот) ввести данные в поля вручную, вместо того чтобы копировать и вставлять их подождать и повторить попытку на следующий день: иногда у ЕСИА случаются технические проблемы — к сожалению, подробные причины отклонения нам, как и вам, не видны.
vk.com/faq18838;Как получить расширенный статус?;Чтобы получить расширенный аккаунт, пройдите [https://vk.com/app7131443#action=identify|идентификацию]. Для этого зайдите в настройки VK Pay (значок шестерёнки), затем нажмите на Статус Базовый и на Улучшить аккаунт. Мы отправим данные на проверку в [https://vk.com/away.php?to=https%3A%2F%2Fesia.gosuslugi.ru|ЕСИА], а затем повысим ваш статус. Обычно проверка занимает не более 8 часов — мы сообщим вам, когда она закончится.
vk.com/faq18836;Как узнать свой статус?;Для этого перейдите в раздел Настройки аккаунта VK Pay.
vk.com/faq18836;Как узнать свой статус?;Его можно посмотреть в настройках аккаунта VK Pay. Для этого в мини-приложении нажмите на значок в виде шестерёнки в правом верхнем углу.
vk.com/faq18835;Как я могу изменить региональные и часовые настройки?;Это можно сделать в разделе Настройки: http://m.vk.com/settings.
vk.com/faq18832;Как мне включить звуковые уведомления о новых сообщениях?;Увы, эта возможность есть только в полной версии ВКонтакте.Но вы можете воспользоваться нашими клиентами [http://vk.com/mobile|vk.com/mobile], в которых есть функция звуковых оповещений.Более того, можно настроить SMS-оповещения здесь: [http://m.vk.com/settings?act=notify|https://m.vk.com/settings?act=notify]
vk.com/faq18830;Как изменить имя?;В приложении пока такой возможности нет. Вы можете изменить его в мобильной версии ВК: m.vk.com/edit.
vk.com/faq18828;Как отключить уведомления о новых публикациях пользователя или сообщества?;Чтобы отключить оповещения, перейдите в настройки приложения, откройте раздел Уведомления → Новые записи, найдите источник, смахните его влево, а потом нажмите Удалить.
vk.com/faq18828;Как отключить уведомления о новых публикациях пользователя или сообщества?;Перейдите в Настройки, откройте раздел [https://vk.com/settings?act=notify|Уведомления] → Новые записи (внизу под заголовком Другое), а затем нажмите на крестик напротив названия сообщества или имени пользователя.Отключить уведомления можно и в самом профиле, нажав на Ещё → Не уведомлять о записях. В сообществе нажмите Ещё → Уведомления.
vk.com/faq18827;Как включить уведомления о новых публикациях пользователя или сообщества?;Откройте профиль пользователя или сообщество, нажмите на изображение колокольчика вверху справа и выберите команду Уведомлять о записях. Уведомления будут появляться на экране вашего устройства, даже если оно заблокировано. В самом приложении оповещения можно будет найти, нажав на колокольчик в ленте новостей справа вверху.
vk.com/faq18827;Как включить уведомления о новых публикациях пользователя или сообщества?;Откройте профиль пользователя, нажмите Ещё → Уведомлять о записях. Чтобы включить оповещения о записях сообщества, зайдите в него и нажмите Ещё → Уведомления.Если в [https://vk.com/settings?act=notify|настройках] активирован пункт Показывать мгновенные уведомления, уведомления будут появляться на экране вашего устройства. Также оповещения можно будет просмотреть, нажав на колокольчик.
vk.com/faq18827;Как включить уведомления о новых публикациях пользователя или сообщества?;Чтобы включить оповещения о записях сообщества, достаточно нажать на колокольчик вверху справа. В профиле пользователя нажмите на колокольчик и выберите Уведомлять о записях.
vk.com/faq18826;Как добавить контактную информацию?;Откройте свой профиль, нажмите на три точки в правом верхнем углу, а затем нажмите кнопку Редактировать профиль → Контакты. Там вы сможете внести изменения.
vk.com/faq18825;Как узнать, кого я скрыл из историй?;Для этого нажмите на Новости в шапке ленты новостей, выберите Настроить новости, там выберите раздел Скрыты из историй.
vk.com/faq18824;Как посмотреть новости в порядке публикации?;Чтобы новости отображались в хронологическом порядке, нажмите на кнопку Новости в шапке новостной ленты → Настроить новости → Порядок записей, выберите вариант По времени публикации.
vk.com/faq18824;Как посмотреть новости в порядке публикации?;Чтобы смотреть новости в порядке публикации, нужно отключить умную ленту. Для этого нажмите на Новости в шапке ленты новостей, выберите Настроить новости и переключите ленту в режим По времени публикации.
vk.com/faq18823;Как узнать, кого я скрыл из новостей?;Откройте в приложении раздел Настройки → Аккаунт, внизу нажмите на кнопку Скрыты из новостей. Там можно вернуть профили обратно в новостную ленту: для этого нажмите на крестик справа.
vk.com/faq18823;Как узнать, кого я скрыл из новостей?;Для этого нажмите на Новости в шапке ленты новостей, выберите Настроить новости, там выберите раздел Скрыты из новостей.
vk.com/faq18822;Как включить уведомления о новых трансляциях?;Общие настройки для таких оповещений находятся в разделе Уведомления в настройках приложения VK.
vk.com/faq18821;Как зайти в настройки приложения?;Откройте вкладку Сервисы, нажмите на три горизонтальные полоски в правом верхнем углу, а затем и выберите пункт Настройки. Для приложения на iPad просто потяните вправо.
vk.com/faq18820;Как скрыть свои истории от посторонних?;Откройте вкладку Сервисы, нажмите на три горизонтальные полоски в правом верхнем углу, затем на Настройки, перейдите в раздел Приватность и установите нужный вариант в пункте Кто может видеть мои истории в блоке Истории.
vk.com/faq18819;Как сменить звук уведомления?;Дело в том, что в Android 8.0 Google сильно изменили принцип работы уведомлений, позволив гибко настраивать каждый тип уведомлений из приложений на уровне самой системы (а не приложений, как это было раньше или как сейчас осталось на Android 7.0 и ниже). И естественно Google потребовали от разработчиков приложений (в том числе и от нас) поддержки этой функции. И наше приложение теперь эту функцию поддерживает.Но есть одна проблема: разработчики самих устройств по-разному поддержали эту функцию на уровне надстроек над самим Android. В итоге, пока у устройств одних производителей есть возможность настраивать сигнал уведомлений, у других производителей такой возможности нет.Впрочем, это не повод печалиться. Вполне вероятно, что в будущих обновлениях Android для вашего устройства эта функция появится.
